file_artifact_id,filename,document_group,page_count,ocr_status
file:1,942-58099_942-58106_VCC_General.pdf,VCC General,8,parsed
file:2,942-58107_942-58111_VCC_Cab.pdf,VCC Cab Control,5,parsed
file:3,942-58119_942-58121_VCC_Traction.pdf,VCC Traction,3,parsed
file:4,942-58123_942-58129_VCC_Brake.pdf,VCC Brake,7,parsed
file:5,942-58130_942-58132_VCC_AuxPower.pdf,VCC Auxiliary Power,3,parsed
file:6,942-58137_942-58142_VCC_Doors.pdf,VCC Door System,6,parsed
file:7,942-58143_942-58145_VCC_VAC.pdf,VCC HVAC,3,parsed
file:8,942-58146_942-58154_VCC_TMS_Comm.pdf,VCC TMS & Communications,9,parsed
file:9,942-38305_942-38323_DMC_Underframe.pdf,DMC Underframe Pin Assignments,19,parsed
file:10,942-38505_942-38521_TC_Underframe.pdf,TC Underframe Pin Assignments,17,parsed
file:11,942-38402_942-38413_TC_Ceiling.pdf,TC Ceiling Pin Assignments,12,parsed
file:12,942-38602_942-38614_MC_Ceiling.pdf,MC Ceiling Pin Assignments,13,parsed
file:13,942-38104_942-38117_CAB_Panels.pdf,Cab Panel Pin Assignments,3,parsed
file:14,942-38705_942-38711_MC_Underframe.pdf,MC Underframe Pin Assignments,7,parsed
